Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",06.07.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",06.07.2020
Wir als Auftraggeber (kurz AG genannt) schließen mit Ihnen als,Garwan Consulting s. r. o.,72200000 Softwareprogrammierung und -beratung,0.0,"78.110,50",06.07.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,7.0,"1,00",06.07.2020
Abruf aus Rahmenvereinbarung,MICROSOFT ÖSTERREICH GMBH,48000000 Softwarepaket und Informationssysteme,1.0,"193.036,68",01.07.2020
Abruf aus Rahmenvereinbarung,MICROSOFT ÖSTERREICH GMBH,48000000 Softwarepaket und Informationssysteme,1.0,"217.286,54",01.07.2020
Abruf aus Rahmenvereinbarung,MICROSOFT ÖSTERREICH GMBH,48000000 Softwarepaket und Informationssysteme,1.0,"213.524,88",01.07.2020
Abrufbestellung einer Rahmenvereinbarung,BearingPoint GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"303.055,20",30.06.2020
Enterprise Identity & Access Management (EIAM),IPG Information Process Group Austria GmbH,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,5.0,"76.800,00",30.06.2020
Rahmenvereinbarung über Rackserver,HUAWEI Technologies Austria GmbH,30211300 Computerplattformen,4.0,"96.923,80",29.06.2020
IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",26.06.2020
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",26.06.2020
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",26.06.2020
Elektronische Archivierung von physischen Dokumenten sowie zugehörige Dienstleistungen,Canon Austria GmbH Corporate & International Sales,"72212300 Entwicklung von Software für Dokumentenerstellung, Zeichnen, Bildverarbeitung, Terminplanung und Produktivität",1.0,"363.732,99",26.06.2020
Abrufbestellung aus Rahmenvereinbarung,Plasticard-ZFT GmbH & Co.KG,35123400 Zugangskarten,4.0,"80.300,00",25.06.2020
Abruf aus Rahmenvereinbarung,Capgemini Consulting Österreich AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"229.600,00",17.06.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",16.06.2020
"Planungsleistung einer Gastronomieküche inkl. Gewerbe-Kälteanlage in der Lassallestraße 5, 1020 Wien",CNS Design Planungsbüro,"71000000 Dienstleistungen von Architektur-, Konstruktions- und Ingenieurbüros und Prüfstellen",1.0,"92.150,00",15.06.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",15.06.2020
Abruf aus Rahmenvereinbarung,MICROSOFT ÖSTERREICH GMBH,48000000 Softwarepaket und Informationssysteme,1.0,"80.000,00",15.06.2020
Abrufbestellung einer Rahmenvereinbarung,T-Systems Austria GesmbH,72300000 Datendienste,0.0,"57.299,60",15.06.2020
Rahmenvereinbarung über Rackserver,HUAWEI Technologies Austria GmbH,30211300 Computerplattformen,4.0,"96.923,80",15.06.2020
Abrufbestellung einer Rahmenvereinbarung,T-Systems Austria GesmbH,72300000 Datendienste,0.0,"57.910,16",15.06.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72210000 Programmierung von Softwarepaketen,5.0,"1,00",15.06.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",15.06.2020
Ivanti Desktop Now Renewal 1yr,Bechtle GmbH IT Systemhaus Niederlassung St. Pölten,72267000 Software-Wartung und -Reparatur,2.0,"53.816,40",12.06.2020
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,72210000 Programmierung von Softwarepaketen,5.0,"1,00",10.06.2020
Abrufbestellung einer Rahmenvereinbarung,"T-Systems Austria GesmbH, Sales Operations",72300000 Datendienste,0.0,"53.830,16",05.06.2020
Abrufbestellung einer Rahmenvereinbarung,"T-Systems Austria GesmbH, Sales Operations",72300000 Datendienste,0.0,"52.427,16",05.06.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",04.06.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",01.06.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",30.05.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",30.05.2020
Beratungsleistungen hinsichtlich umfassender Prozessverbesserung im operativen Sinn,OPPIDA GmbH,79410000 Unternehmens- und Managementberatung,2.0,"158.400,00",26.05.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",26.05.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,4.0,"1,00",26.05.2020
Abrufbestellung einer Rahmenvereinbarung,Accenture GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"98.834,45",25.05.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.05.2020
Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,Rahmenvereinbarung mit mehreren Unternehmen,72261000 Software-Unterstützung,3.0,"1,00",18.05.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",18.05.2020
Bestellung 4300829381,SAP Österreich GmbH,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,1.0,"135.150,00",18.05.2020
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),OMEGA Handelsgesellschaft m.b.H.,30214000 Arbeitsplätze,0.0,"50.711,00",14.05.2020
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),OMEGA Handelsgesellschaft m.b.H.,30214000 Arbeitsplätze,0.0,"50.711,00",14.05.2020
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",05.05.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",29.04.2020
Bestellung 4900160413,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"61.640,00",29.04.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,1.0,"1,00",29.04.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",29.04.2020
Bestellung 4900160413,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"243.600,00",29.04.2020
Abruf der Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"1,00",29.04.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,1.0,"1,00",29.04.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,7.0,"1,00",29.04.2020
Abruf aus Rahmenvereinbarung,Capgemini Consulting Österreich AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"94.000,00",27.04.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",27.04.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",27.04.2020
eProcurement 4.0,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,3.0,"1,00",20.04.2020
Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,Fabasoft Austria GmbH,72411000 Anbieter von Internetdiensten (ISP),2.0,"67.770,00",20.04.2020
Abrufbestellung einer Rahmenvereinbarung,Türkott Multitechnik Haus- und,32250000 Mobilfunkgeräte,0.0,"51.839,45",20.04.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",14.04.2020
Abruf aus Rahmenvereinbarung,MICROSOFT ÖSTERREICH GMBH,48000000 Softwarepaket und Informationssysteme,1.0,"22.394.512,86",09.04.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",07.04.2020
"Kinderbetreuung an Ferien-, Fenster- und Landesfeiertagen",,85312100 Betreuung in Tagesstätten,,,02.04.2020
eProcurement 4.0,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,3.0,"1,00",31.03.2020
SAP Softwareüberlassung und Cloud-Services,SAP Österreich GmbH Zentrale,48000000 Softwarepaket und Informationssysteme,1.0,"308.389,60",31.03.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",27.03.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",27.03.2020
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),OMEGA Handelsgesellschaft m.b.H.,30214000 Arbeitsplätze,0.0,"55.648,00",27.03.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",27.03.2020
Bestellung 4900160413,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"67.000,00",27.03.2020
Wir als Auftraggeber (kurz AG genannt) schließen mit Ihnen als,GARWAN CONSULTING S.R.O.,72200000 Softwareprogrammierung und -beratung,0.0,"97.337,70",27.03.2020
Wir als Auftraggeber (kurz AG genannt) schließen mit Ihnen als,GARWAN CONSULTING S.R.O.,72200000 Softwareprogrammierung und -beratung,0.0,"96.136,00",27.03.2020
ÖBB-Akademie Wissenstransfer Coaches & Expertinnenprogramm,Excellence Instiute Filiale,80530000 Berufsausbildung,1.0,"113.696,00",26.03.2020
Citrix und Ivanti,Axians ICT Austria GmbH Firmensitz Linz,48000000 Softwarepaket und Informationssysteme,0.0,"654.060,00",25.03.2020
Bestellung 4500707411,atwork GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"52.500,00",02.03.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",6.0,"1,00",25.02.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72210000 Programmierung von Softwarepaketen,7.0,"1,00",18.02.2020
Beratungsleistungen hinsichtlich umfassender Prozessverbesserung im operativen Sinn,OPPIDA GmbH,79410000 Unternehmens- und Managementberatung,2.0,"63.360,00",17.02.2020
Bestellung 4300820838,intuio GmbH,72250000 Systemdienstleistungen und Unterstützungsdienste,1.0,"99.400,00",05.02.2020
Bestellung 4900160413,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"55.680,00",05.02.2020
Leistungsabruf PVA Gutachten 2020,Pensionsversicherungsanstalt (PVA) Medizinische Administration,85000000 Dienstleistungen des Gesundheits- und Sozialwesens,1.0,"808.000,00",14.01.2020
Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,Fabasoft Austria GmbH,72411000 Anbieter von Internetdiensten (ISP),2.0,"67.770,00",09.01.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72240000 Systemanalyse und Programmierung,0.0,"1,00",08.01.2020
Enterprise High Performance All Flash Storage,EDV-DESIGN INFORMATIONSTECHNOLOGIE,30233180 Flashspeichergeräte,0.0,"210.756,00",07.01.2020
Rahmenvereinbarung über Rackserver,HUAWEI Technologies Austria GmbH,30236200 Datenverarbeitungsanlagen,4.0,"67.879,60",07.01.2020
Rahmenvereinbarung über HSM Infrastruktur,exceet Secure Solutions GmbH,30210000 Datenverarbeitungsgeräte (Hardware),4.0,"495.588,00",07.01.2020
Rahmenvereinbarung HR-IT-Systeme,Cornerstone OnDemand Europe Limited,48450000 Softwarepaket für Zeiterfassung und Personalverwaltung,0.0,"1,00",07.01.2020
Die ÖBB-Holding AG sowie die mit ihr im Sinne des § 228 (3) UGB,Rahmenvereinbarung mit mehreren Unternehmen,72260000 Dienstleistungen in Verbindung mit Software,5.0,"1,00",07.01.2020
Abruf aus Rahmenvereinbarung,Capgemini Consulting Österreich AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"61.500,00",02.01.2020
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",26.12.2019
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,7.0,"1,00",26.12.2019
Abruf aus Rahmenvereinbarung,active business consult,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"63.050,00",26.12.2019
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",26.12.2019
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",26.12.2019
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",26.12.2019
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",26.12.2019
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"48200000 Softwarepaket für Vernetzung, Internet und Intranet",2.0,"1,00",26.12.2019
Abruf der Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"1,00",26.12.2019
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72262000 Software-Entwicklung,5.0,"1,00",26.12.2019
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,7.0,"1,00",26.12.2019
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",26.12.2019
BMC Applikationswartung,NTT DATA Österreich GmbH,72267000 Software-Wartung und -Reparatur,0.0,"235.000,00",26.12.2019
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",5.0,"1,00",26.12.2019
CSMON Lizenzkauf,BF-ONE GmbH BF-ONE GmbH,48218000 Lizenzverwaltungssoftwarepaket,1.0,"75.600,00",17.12.2019
Abruf aus Rahmenvereinbarung,Software GmbH Österreich,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,1.0,"1,00",16.12.2019
Mitarbeiter rollierende Planungsanwendungen,Wired-Up Maciej Wójcik Zentrale,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",1.0,"79.500,00",13.12.2019
Abruf aus Rahmenvereinbarung,Simmeth System GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"128.250,00",03.12.2019
Abruf aus Rahmenvereinbarung,Software GmbH Österreich,72260000 Dienstleistungen in Verbindung mit Software,1.0,"1,00",25.11.2019
Abruf aus Rahmenvereinbarung,OpusCapita Software GmbH,48490000 Softwarepaket für das Beschaffungswesen,4.0,"1,00",25.11.2019
Abruf aus Rahmenvereinbarung,Bechtle GmbH,48000000 Softwarepaket und Informationssysteme,0.0,"98.600,00",25.11.2019
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,4.0,"1,00",25.11.2019
SALT Add-On KEP Monitor,SALT Solutions AG,48100000 Branchenspezifisches Softwarepaket,1.0,"72.600,00",25.11.2019
- Stundenkontingent Service & Support,Smarter Business Solutions GmbH Softwareentwicklung und -beratung,79410000 Unternehmens- und Managementberatung,1.0,"78.880,00",21.11.2019
Dieser Vertrag dient nur zur Abbildung im SAP.,OMEGA Handelsgesellschaft m.b.H.,,0.0,"65.754,45",18.11.2019
Wir als Auftraggeber (kurz AG genannt) schließen mit Ihnen als,GARWAN CONSULTING S.R.O.,,0.0,"180.255,00",18.11.2019
Dies ist die systemtechnische Erfassung der Rahmenvereinbarung mit der,Nagarro GmbH,,0.0,"90.800,00",18.11.2019
Dies ist die systemtechnische Erfassung der Rahmenvereinbarung mit der,Nagarro GmbH,,0.0,"52.664,00",18.11.2019
Dies ist die systemtechnische Erfassung der Rahmenvereinbarung mit der,Nagarro GmbH,,0.0,"82.650,00",18.11.2019
Dies ist die systemtechnische Erfassung der Rahmenvereinbarung mit der,Nagarro GmbH,,0.0,"59.020,00",18.11.2019
Dies ist die systemtechnische Erfassung der Rahmenvereinbarung mit der,Nagarro GmbH,,0.0,"79.968,00",18.11.2019
Die Österreichische Bundesbahnen-Holding Aktiengesellschaft sowie die,SOFTCOM CONSULTING GmbH,,0.0,"314.781,25",18.11.2019
Dies ist die systemtechnische Erfassung der Rahmenvereinbarung mit der,Nagarro GmbH,,0.0,"62.016,00",18.11.2019
SAP 4/Hana-Schulungen für Mitarbeiter ÖBB-SAP CCC,SAP Deutschland SE & Co. KG SAP Training & Enablement,80533200 Computerkurse,1.0,"105.000,00",13.11.2019
Backwaren Linz,Resch&Frisch Einzelhandels GmbH Resch&Frisch Einzelhandels GmbH,"15000000 Nahrungsmittel, Getränke, Tabak und zugehörige Erzeugnisse",1.0,"168.266,04",12.11.2019
Ausbildungsprogramm Projektmanagement,procon Unternehmensberatung GmbH Marketing,80531100 Fachausbildung,5.0,"1,00",05.11.2019
Trainings Gesundheitsmanagement,Ambros & Zalokar OG Geschäftsführung Wien,80570000 Ausbildung in der Persönlichkeitsentwicklung,3.0,"1,00",04.11.2019
SALT Add-On KEP Monitor - SALT Add-On KEP Monitor,SALT Solutions AG SALT Solutions Würzburg,48000000 Softwarepaket und Informationssysteme,1.0,"72.600,00",31.10.2019
